step,mode,loss,angle_error(rad)
0,test,0,0.04166523367166519
0,test,0,0.08076232671737671
0,test,0,0.07732963562011719
0,test,0,0.07735641300678253
0,test,0,0.07023903727531433
0,test,0,0.08606460690498352
0,test,0,0.08384881913661957
0,test,0,0.08860066533088684
0,test,0,0.11618073284626007
0,test,0,0.09885022044181824
0,test,0,0.10906949639320374
0,test,0,0.08244715631008148
0,test,0,0.08316156268119812
0,test,0,0.07851016521453857
0,test,0,0.07946358621120453
0,test,0,0.06618240475654602
0,test,0,0.062296461313962936
0,test,0,0.06616665422916412
0,test,0,0.06679634749889374
0,test,0,0.042861346155405045
0,test,0,0.041202712804079056
0,test,0,0.03948267921805382
0,test,0,0.04759928956627846
0,test,0,0.019655775278806686
0,test,0,0.013326596468687057
0,test,0,0.032081615179777145
0,test,0,0.061245355755090714
0,test,0,0.07235279679298401
0,test,0,0.06638936698436737
0,test,0,0.07013238966464996
0,test,0,0.07977358996868134
1,training,0.0014492858,0.035013891756534576
2,training,0.0020525793,0.04925329834222794
3,training,0.046947245,0.3392610609531403
4,training,0.123256125,0.5980787202715874
5,training,0.070884354,0.03663524929434061
6,training,0.046742782,0.0011594481766223907
7,training,0.0072614164,0.03920464962720871
8,training,0.032189228,0.049527913331985474
9,training,0.03466512,0.03937391936779022
10,training,0.010781851,0.009799547493457794
11,training,0.005968142,0.023404531180858612
12,training,0.035374235,0.04100344702601433
13,training,0.036354173,0.04872118681669235
14,training,0.00256768,0.06847099214792252
15,training,0.035283167,0.0755334347486496
16,training,0.00065778784,0.07171757519245148
17,training,0.0054650707,0.09222731739282608
18,training,0.00192303,0.09898023307323456
19,training,0.0017684996,0.08978510648012161
20,training,0.0019908359,0.08103501051664352
21,training,0.0005034082,0.0956830382347107
22,training,0.0021386857,0.11040546745061874
23,training,0.00054819346,0.11142440140247345
24,training,0.0021175444,0.10785521566867828
25,training,0.000789326,0.10004393756389618
26,training,0.0030807704,0.09353221207857132
27,training,0.0037355965,0.07951857149600983
28,training,0.000982403,0.06673866510391235
29,training,0.0042071124,0.06392368674278259
30,training,0.0020483632,0.06729003041982651
31,training,0.0014388069,0.055839523673057556
32,training,0.0008046485,0.06313630938529968
33,training,0.0028109525,0.0893179401755333
34,training,0.0014107741,0.09659573435783386
35,training,0.0024715713,0.09592939168214798
36,training,0.0020168487,0.09333932399749756
37,training,0.0036718722,0.08475413918495178
38,training,0.0015224037,0.09802639484405518
39,training,0.002169981,0.11162285506725311
40,training,0.0024946772,0.13464464247226715
41,training,0.0024123688,0.07785758860409259
42,training,0.0022904512,0.00926690772175788
43,training,0.004031904,0.004468046873807904
44,training,0.005823958,0.04051360189914703
45,training,0.0060514715,0.10040087029337882
46,training,0.004136259,0.07611566036939621
47,training,0.0023377168,0.10507715195417405
48,training,0.0016136769,0.13742270320653915
49,training,0.0033776225,0.007755119353532791
50,training,0.0066773808,0.02038576453924179
51,training,0.0027865523,0.03880145773291588
52,training,0.005467922,0.018778229132294655
53,training,0.0035174557,0.010119423270225525
54,training,0.0035860194,0.03536425158381462
55,training,0.0016454634,0.047645337879657745
56,training,0.00092454226,0.04781448468565941
57,training,0.0028797127,0.02814246341586113
58,training,0.0012097601,0.031339131295681
59,training,0.0027246657,0.032253921031951904
60,training,0.000728511,0.031471531838178635
61,training,0.0012050236,0.05576830357313156
62,training,0.0020097275,0.06450959295034409
63,training,0.004627166,0.049802470952272415
64,training,0.0009871407,0.03829341381788254
65,training,0.00044837917,0.035171590745449066
66,training,0.0012916588,0.053359292447566986
67,training,0.0032096705,0.05214889720082283
68,training,0.0012449969,0.057074613869190216
69,training,0.0011476276,0.04518603906035423
70,training,0.0018666564,0.0023369286209344864
71,training,0.0033160516,0.04217757657170296
72,training,0.0012662881,0.06946919858455658
73,training,0.0013435682,0.09498399496078491
74,training,0.0006510882,0.10547631233930588
75,training,0.0021743686,0.10853882133960724
76,training,0.0032747437,0.11261975765228271
77,training,0.0012932619,0.1109607070684433
78,training,0.02180697,0.10275296866893768
79,training,0.006573414,0.08980987221002579
80,training,0.003105133,0.07504560053348541
81,training,0.00057719275,0.09170465171337128
82,training,0.00056911603,0.5707759395241737
83,training,0.004164768,0.8375325255095959
84,training,0.09865141,0.8287576675415039
84,test,0,0.10308234393596649
84,test,0,0.17039671540260315
84,test,0,0.21221138536930084
84,test,0,0.2322455793619156
84,test,0,0.2656063139438629
84,test,0,0.28493574261665344
84,test,0,0.3103485703468323
84,test,0,0.32037290930747986
84,test,0,0.358651340007782
84,test,0,0.37141484022140503
84,test,0,0.362293004989624
84,test,0,0.3302442133426666
84,test,0,0.3210739195346832
84,test,0,0.29423049092292786
85,training,0.040896602,0.1262454554438591
86,training,0.039835356,0.5978749871253968
87,training,0.0023911102,0.6449864745140076
88,training,0.014580052,0.22349059581756592
89,training,0.006048569,0.11196495592594147
90,training,0.05073281,0.10992918908596039
91,training,0.039588038,0.09867462515830994
92,training,0.009801162,0.07415789365768433
93,training,0.005340811,0.05315171927213669
94,training,0.008716928,0.04254630208015442
95,training,0.0014109229,0.05000344663858414
96,training,0.0012096054,0.05343761295080185
97,training,0.00056283304,0.05526598542928696
98,training,0.0049269153,0.04997171461582184
99,training,0.08657467,0.03914489969611168
100,training,0.0033777987,0.043064720928668976
101,training,0.0029908498,0.03547459840774536
102,training,0.004300449,0.013703584671020508
103,training,0.0012394628,0.01410021260380745
104,training,0.004058382,0.02975182551890612
105,training,0.0019859124,0.05937228128314019
106,training,0.0037640948,0.08030957691371442
107,training,0.0041976804,0.0041470713913440704
108,training,0.0023403214,0.03475542739033699
109,training,0.0072416556,0.037991344928741455
110,training,0.011940259,0.03162846341729164
111,training,0.0008866586,0.01939242333173752
112,training,0.08950399,0.013813123106956482
